tag,startSecond,endSecond,startFrame,endFrame
mm.mcclump,37,60,111,180
jm.gmontante,23,60,69,180
hd.hkdkat,22,60,66,180
Alan-Emery-1920.mov,20,60,60,180
Julie-Salestrom,15,60,45,180
Richard-Woolf-2-2,10,60,30,180
td.taradefrancisco,10,60,30,180
cd.wxdejong,9,60,27,180
jm.jackandmeredith,8,60,24,180
eg.elenaluzgomez,7,60,21,180
gm.george.menhorn,5,60,15,180
kc.chubbywolf,5,60,15,180
Lane-Martin,5,60,15,180
sm.sameador-NEW,5,60,15,180
ja.zoe30w,4,60,12,180
Neepa-Majumdar,4,60,12,180
cb.barrossocialclub,3,60,9,180
James-Brennan,3,60,9,180
Robert-Bottman,3,60,9,180
Ryan-Berry3,3,60,9,180
in.irnixon,2,60,6,180
mm.dads_peaches,2,60,6,180
sp.jbarrow3,2,60,6,180
al.apolloose@gmail.com,1,60,3,180
marysia-miernowska,1,60,3,180
mw.akwaren-NEW,1,60,3,180
rm.simultania,0,12,0,36
tr.greatallmerge,0,19,0,57
jk.pezheadkay,0,26,0,78
jc.jeananne,0,37,0,111
ps.schoch,0,38,0,114
kk.katiekadwell,0,44,0,132
Monica-Schrager,0,46,0,138
Stacianne-orrico,0,51,0,153
Todd-Fenwick,0,51,0,153
el.e.lederer,0,52,0,156
nh.n.haas1990,0,52,0,156
rw.ryan@deadfrog-NEW2,0,54,0,162
sn.steven_02139,0,54,0,162
hp.hilary.perkins,0,55,0,165
Scarlett-Freund-NEW2,0,55,0,165
cn.c_njaa,0,56,0,168
as.jasontrekkie,0,57,0,171
DeSean-Ventus2,0,57,0,171
ml.mat@mlcreative-NEW,0,57,0,171
jj.jamandmilk,0,58,0,174
mt.skittles7771,0,58,0,174
Tammi-Jacobsen2,0,58,0,174
wb.blakeny-NEW2,0,58,0,174
as.kjnbear,0,59,0,177
dg.darby,0,59,0,177
fe.fellenberger,0,59,0,177
gs.gmanviz,0,59,0,177
rf.rleightonfelton,0,59,0,177
sf.scottdfrank,0,59,0,177
sm.smeixell,0,59,0,177
so.sportsarecool97,0,59,0,177
